Title	Abstract	Authors	Publication Date	DOI
Reduced mortality and shorten ICU stay in SARS-COV-2 pneumonia: a low PEEP strategy	BackgroundIntensive Care Unit (ICU) management of COVID-19 patients with severe hypoxemia is associated with high mortality. We implemented a care map, as a standardized multidisciplinary approach to improve patients monitoring using: uniform patient selection for ICU admission, a low-PEEP strategy and a pharmacologic strategic thromboembolism management. MethodsA standardized protocol for managing COVID-19 patients and ICU admissions was implemented through accurate Early Warning Score (EWS) monitoring and thromboembolism prophylaxis at hospital admission. Dyspnea, mental confusion or SpO2 less than 85% were criteria for ICU admission. Ventilation approach employed low PEEP values (about 10 cmH2O in presence of lung compliance > 40 mL/cmH2O) and FiO2 as needed. In presence of lower lung compliance (< 40 mL/cmH2O) PEEP value was increased to about 14 cmH2O. FindingsFrom March 16th to April 12nd 2020, 41 COVID-19 patients were admitted to our ICU from a total of 310 patients. 83% (34) of them needed mechanical ventilation. The ventilation approach chosen employed low PEEP value based on BMI (PEEP 11{+/-} 3.8 (10-12) cmH2O if BMI < 30 Kg/m2; PEEP 15{+/-} 3.26 (12-18) cmH2O if BMI >30 Kg/m2). To date, ten patients (24%) died, four (9.7%) received mechanical ventilation, two were transferred to another hospital and 25 (60.9%) were discharged from ICU after a median of nine days. InterpretationA multimodal approach for COVID-19 patients is mandatory. The knowledge of this multi-organ disease is growing rapidly, requiring improvements in the standard of care. Our approach implements an accurate pre-ICU monitoring and strict selection for ICU admission, and allows to reduce mechanical ventilation, ICU stay and mortality. FundingNo funding has been required.	Ceruti, S.; Roncador, M.; Gie, O.; Bona, G.; Iattoni, M.; Biggiogero, M.; Maida, P. A.; COVID-19 Clinical Management Team,  ; Garzoni, C.; Mauri, R.	2020-05-08	10.1101/2020.05.03.20089318
Angiotensin II Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors Usage is Associated with Improved Inflammatory Status and Clinical Outcomes in COVID-19 Patients With Hypertension	With the capability of inducing elevated expression of ACE2, the cellular receptor for SARS-CoV-2, angiotensin II receptor blockers or angiotensin-converting enzyme inhibitors (ARBs/ACEIs) treatment may have a controversial role in both facilitating virus infection and reducing pathogenic inflammation. We aimed to evaluate the correlation of ARBs/ACEIs usage with the pathogenesis of COVID-19 in a retrospective, single-center study. 126 COVID-19 patients with preexisting hypertension at Hubei Provincial Hospital of Traditional Chinese Medicine (HPHTCM) in Wuhan from January 5 to February 22, 2020 were retrospectively allocated to ARBs/ACEIs group (n=43) and non-ARBs/ACEIs group (n=83) according to their antihypertensive medication. 125 age- and sex-matched COVID-19 patients without hypertension were randomly selected as non-hypertension controls. In addition, the medication history of 1942 hypertension patients that were admitted to HPHTCM from November 1 to December 31, 2019 before COVID-19 outbreak were also reviewed for external comparison. Epidemiological, demographic, clinical and laboratory data were collected, analyzed and compared between these groups. The frequency of ARBs/ACEIs usage in hypertension patients with or without COVID-19 were comparable. Among COVID-19 patients with hypertension, those received either ARBs/ACEIs or non-ARBs/ACEIs had comparable blood pressure. However, ARBs/ACEIs group had significantly lower concentrations of CRP (p=0.049) and procalcitonin (PCT, p=0.008). Furthermore, much lower proportion of critical patients (9.3% vs 22.9%; p=0.061), and a lower death rate (4.7% vs 13.3%; p=0.216) were observed in ARBs/ACEIs group than non-ARBs/ACEIs group, although these differences failed to reach statistical significance. Our findings thus support the use of ARBs/ACEIs in COVID-19 patients with preexisting hypertension.	Yang, G.; Tan, Z.; Zhou, L.; Yang, M.; Peng, L.; Liu, J.; Cai, J.; Yang, R.; Han, J.; Huang, Y.; He, S.	2020-04-04	10.1101/2020.03.31.20038935
IL6 inhibition in critically ill COVID-19 patients is associated with increased secondary infections	BackgroundAnti-inflammatory therapies such as IL-6 inhibition have been proposed for COVID-19 in a vacuum of evidence-based treatment. However, abrogating the inflammatory response in infectious diseases may impair a desired host response and predispose to secondary infections. MethodsWe retrospectively reviewed the medical record of critically ill COVID-19 patients during an 8-week span and compared the prevalence of secondary infection and outcomes in patients who did and did not receive tocilizumab. Additionally, we included representative histopathologic post-mortem findings from several COVID-19 cases that underwent autopsy at our institution. Results111 patients were identified, of which 54 had received tocilizumab while 57 had not. Receiving tocilizumab was associated with a higher risk of secondary bacterial (48.1% vs. 28.1%, p=0.029 and fungal (5.6% vs. 0%, p=0.112) infections. Consistent with higher number of infections, patients who received tocilizumab had higher mortality (35.2% vs. 19.3%, p=0.020). Seven cases underwent autopsy. In 3 cases who received tocilizumab, there was evidence of pneumonia on pathology. Of the 4 cases that had not been given tocilizumab, 2 showed evidence of aspiration pneumonia and 2 exhibited diffuse alveolar damage. ConclusionsExperimental therapies are currently being applied to COVID-19 outside of clinical trials. Anti-inflammatory therapies such as anti-IL-6 therapy have the potential to impair viral clearance, predispose to secondary infection, and cause harm. We seek to raise physician awareness of these issues and highlight the need to better understand the immune response in COVID-19.	Kimmig, L. M.; Wu, D.; Gold, M.; Pettit, N. N.; Pitrak, D.; Mueller, J.; Husain, A. N.; Mutlu, E. A.; Mutlu, G. M.	2020-05-20	10.1101/2020.05.15.20103531
IMPACT OF GLUCOCORTICOID TREATMENT IN SARS-COV-2 INFECTION MORTALITY: A RETROSPECTIVE CONTROLLED COHORT STUDY	ObjectiveWe aim to determine the impact of steroid use in COVID-19 pneumonia in-hospital mortality. DesignWe performed a single-centre retrospective cohort study. SettingA University hospital in Madrid, Spain, during March 2020. ParticipantsPatients admitted with SARS-CoV-2 pneumonia. ExposuresPatients treated with steroids were compared to patients not treated with steroids. A propensity-score for steroid treatment was developed. Different steroid regimens were also compared, and adjusted with a second propensity score. Main Outcomes and MeasuresTo determine the role of steroids in in-hospital mortality, univariable and multivariable analyses were performed, and adjusted including the propensity score as a covariate. Survival times were compared using a log-rank test. ResultsDuring the study period, 463 out of 848 hospitalized patients with COVID19 pneumonia fulfilled inclusion criteria. Among them, 396 (46.7%) consecutive patients were treated with steroids and 67 patients were assigned to the control cohort. Global mortality was 15.1%. Median time to steroid treatment from symptom onset was 10 days (IQR 8 to13). In-hospital mortality was lower in patients treated with steroids than in controls (13.9% [55/396] versus 23.9% [16/67], OR 0.51 [0.27 to 0.96], p= 0.044). Steroid treatment reduced mortality by 41.8% relative to no steroid treatment (RRR 0,42 [0.048 to 0.65). Initial treatment with 1 mg/kg/day of methylprednisolone (or equivalent) versus steroid pulses was not associated with in-hospital mortality (13.5% [42/310] versus 15.1% [13/86], OR 0.880 [0.449-1.726], p=0.710). ConclusionsOur results show that survival of patients with SARS-CoV2 pneumonia is higher in patients treated with glucocorticoids than in those not treated. In-hospital mortality was not different between initial regimens of 1 mg/kg/day of methylprednisolone or equivalent and glucocorticoid pulses. These results support the use of glucocorticoids in SARS-CoV2 infection. SummaryWe investigated in-hospital mortality of patients with SARS-CoV-2 pneumonia in a large series of patients treated with steroids compared to controls, and adjusted using a propensity score. Our results show a beneficial impact of steroid treatment in SARS-CoV-2 pneumonia.	Fernandez-Cruz, A.; Ruiz-Antoran, B.; Munoz-Gomez, A.; Sancho-Lopez, A.; Mills-Sanchez, P.; Centeno-Soto, G. A.; Blanco-Alonso, S.; Javaloyes-Garachana, L.; Galan-Gomez, A.; Valencia-Alijo, A.; Gomez-Irusta, J.; Payares-Herrera, C.; Morras-Torre, I.; Sanchez-Chica, E.; Delgado-Tellez-de-Cepeda, L.; Callejas-Diaz, A.; Ramos-Martinez, A.; Munez-Rubio, E.; Avendano-Sola, C.	2020-05-26	10.1101/2020.05.22.20110544
Treatment of COVID-19 Patients with Convalescent Plasma in Houston, Texas	BackgroundCOVID-19 disease, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has spread globally, and no proven treatments are available. Convalescent plasma therapy has been used with varying degrees of success to treat severe microbial infections for more than 100 years. MethodsPatients (n=25) with severe and/or life-threatening COVID-19 disease were enrolled at the Houston Methodist hospitals from March 28 - April 14, 2020. Patients were transfused with convalescent plasma obtained from donors with confirmed SARS-CoV-2 infection and had been symptom free for 14 days. The primary study outcome was safety, and the secondary outcome was clinical status at day 14 post-transfusion. Clinical improvement was assessed based on a modified World Health Organization 6-point ordinal scale and laboratory parameters. Viral genome sequencing was performed on donor and recipient strains. ResultsAt baseline, all patients were receiving supportive care, including anti-inflammatory and anti-viral treatments, and all patients were on oxygen support. At day 7 post-transfusion with convalescent plasma, nine patients had at least a 1-point improvement in clinical scale, and seven of those were discharged. By day 14 post-transfusion, 19 (76%) patients had at least a 1-point improvement in clinical status and 11 were discharged. No adverse events as a result of plasma transfusion were observed. The whole genome sequencing data did not identify a strain genotype-disease severity correlation. ConclusionsThe data indicate that administration of convalescent plasma is a safe treatment option for those with severe COVID-19 disease. Randomized, controlled trials are needed to determine its efficacy.	Salazar, E.; Perez, K. K.; Ashraf, M.; Chen, J.; Castillo, B.; Christensen, P. A.; Eubank, T.; Bernard, D. W.; Eagar, T. N.; Long, S. W.; Subedi, S.; Olsen, R. J.; Leveque, C.; Schwartz, M. R.; Dey, M.; Chavez-East, C.; Rogers, J.; Shehabeldin, A.; Joseph, D.; Williams, G.; Thomas, K.; Masud, F.; Talley, C.; Dlouhy, K. G.; Lopez, B. V.; Hampton, C.; Lavinder, J.; Gollihar, J. D.; Maranhao, A. C.; Ippolito, G. C.; Saavedra, M. O.; Cantu, C. C.; Yerramilli, P.; Pruitt, L.; Musser, J. M.	2020-05-13	10.1101/2020.05.08.20095471
Sarilumab use in severe SARS-CoV-2 pneumonia	ImportanceInterleukin-6 signal blockade has shown preliminary beneficial effects in treating aberrant host inflammatory response against SARS-CoV-2 leading to severe respiratory distress. Objectiveto describe the effect of off-label intravenous use of Sarilumab in patients with severe SARS-CoV-2-related pneumonia. DesignObservational clinical cohort study. SettingFondazione Policlinico Universitario A. Gemelli IRCCS as Italian Covid reference center. ParticipantsPatients with laboratory-confirmed SARS-CoV-2 infection and respiratory distress with PaO2/FiO2 ratio<300 treated with Sarilumab between March 23rd - April 4th, 2020. Date of final follow-up was April 18, 2020. Main outcomes and measuresWe describe the clinical outcomes of 53 patients with SARS-CoV-2 severe pneumonia treated with intravenous Sarilumab in terms of pulmonary function improvement or Intensive Care Unit (ICU) admission rate in medical wards setting and of live discharge rate in ICU treated patients as well as in terms of safety. Each patient received Sarilumab 400 mg administered intravenously on day 1, with eventual additional infusion based on clinical judgement, and was followed for at least 14 days, unless previously discharged or dead. No gluco-corticosteroids were used at baseline. ResultsOf the 53 SARS-CoV-2pos patients receiving Sarilumab, 39 (73.6%) were treated in medical wards (66.7% with a single infusion) while 14 (26.4%) in ICU (92.6% with a second infusion). The median PaO2/FiO2 of patients in the Medical Ward was 146(IQR:120-212) while the median PaO2/FiO2 of patients in ICU was 112(IQR:100-141.5), respectively. Within the medical wards, 7(17.9%) required ICU admission, 4 of whom were re-admitted to the ward within 5-8 days. At 19 days median follow-up, 89.7% of medical inpatients significantly improved (46.1% after 24 hours, 61.5% after 3 days), 70.6% were discharged from the hospital and 85.7% no longer needed oxygen therapy. Within patients receiving Sarilumab in ICU, 64.2% were discharged from ICU to the ward and 35.8% were still alive at the last follow-up. Overall mortality rate was 5.7% after Sarilumab administration: 1(2.5%) patient died in the Medical Ward whilst 2(14.2%) patients died in ICU, respectively. Conclusions and relevanceIL-6R inhibition appears to be a potential treatment strategy for severe SARS-CoV-2 pneumonia and intravenous Sarilumab seems a promising treatment approach showing, in the short term, an important clinical benefit and good safety. Key pointsO_ST_ABSQuestionC_ST_ABSSARS-CoV-2 infection remains a disease with many unknown aspects for which there are no therapies with proven efficacy. To date, it is recognized that COVID-19 disease may lead to the development of a cytokine storm for which drugs as IL-6R inhibitors may have beneficial effect. FindingsIn this observational clinical study, we reported the efficacy and safety of intravenous Sarilumab use in SARS-CoV-2 severe pneumonia with a global resolution rate of 83.0% (89.7% in medical wards and 64.3% in ICU) and an overall mortality rate of 5.7%. MeaningIL-6R-inhibition is an effective approach for severe SARS-CoV-2 pneumonia and intravenous Sarilumab is a promising treatment approach leading to an important clinical benefit and good safety in the short term.	Gremese, E.; Cingolani, A.; Bosello, S. L.; Alivernini, S.; Tolusso, B.; Perniola, S.; Landi, F.; Pompili, M.; Murri, R.; Santoliquido, A.; Garcovich, M.; Sali, M.; De Pascale, G.; Gabrielli, M.; Biscetti, F.; Montalto, M.; Tosoni, A.; Gambassi, G.; Rapaccini, G. L.; Iaconelli, A.; Zileri Dal Verme, L.; Petricca, L.; Fedele, A. L.; Lizzio, M. M.; Tamburrini, E.; Natalello, G.; Gigante, L.; Bruno, D.; Verardi, L.; Taddeo, M.; Calabrese, A.; Lombardi, F.; Bernabei, R.; Cauda, R.; Franceschi, F.; Landolfi, R.; Richeldi, L.; Sanguinetti, M.; Fantoni, M.; Antonelli, M.; Gasbarrini, A.	2020-05-18	10.1101/2020.05.14.20094144
Convalescent Plasma for COVID-19. A randomized clinical trial	Structured abstract for full paperO_ST_ABSBackgroundC_ST_ABSAfter recovery from COVID-19, most patients have anti-SARS-CoV-2 neutralizing antibodies. Their convalescent plasma could be an inexpensive and widely available treatment for COVID-19. MethodsThe Convalescent-plasma-for-COVID (ConCOVID) study was a randomized trial comparing convalescent plasma with standard of care therapy in patients hospitalized for COVID-19 in the Netherlands. Patients were randomized 1:1 and received 300ml of plasma with anti-SARS-CoV-2 neutralizing antibody titers of at least 1:80. The primary endpoint was day-60 mortality and key secondary endpoints were hospital stay and WHO 8-point disease severity scale improvement on day 15. ResultsThe trial was halted prematurely after 86 patients were enrolled. Although symptomatic for only 10 days (IQR 6-15) at the time of inclusion, 53 of 66 patients tested had anti-SARS-CoV-2 antibodies at baseline. A SARS-CoV-2 plaque reduction neutralization test showed neutralizing antibodies in 44 of the 56 (79%) patients tested with median titers comparable to the 115 donors (1:160 vs 1:160, p=0.40). These observations caused concerns about the potential benefit of convalescent plasma in the study population and after discussion with the data safety monitoring board, the study was discontinued. No difference in mortality (p=0.95), hospital stay (p=0.68) or day-15 disease severity (p=0.58) was observed between plasma treated patients and patients on standard of care. ConclusionMost COVID-19 patients already have high neutralizing antibody titers at hospital admission. Screening for antibodies and prioritizing convalescent plasma to risk groups with recent symptom onset will be key to identify patients that may benefit from convalescent plasma. Clinicaltrials.gov: NCT04342182	Gharbharan, A.; Jordans, C. C. E.; GeurtsvanKessel, C.; den Hollander, J. G.; Karim, F.; Mollema, F. P. N.; Stalenhoef, J. E.; Dofferhoff, A.; Ludwig, I.; Koster, A.; Hassing, R.-J.; Bos, J. C.; van Pottelberge, G. R.; Vlasveld, I. N.; Ammerlaan, H. S. M.; Segarceanu, E.; Miedema, J.; van der Eerden, M.; Papageorgiou, G.; te Broekhorst, P.; Swaneveld, F. H.; Katsikis, P. D.; Mueller, Y.; Okba, N. M. A.; Koopmans, M. P. G.; Haagmans, B. L.; Rokx, C.; Rijnders, B.	2020-07-03	10.1101/2020.07.01.20139857
Hospitalized COVID-19 patients treated with Convalescent Plasma in a mid-size city in the midwest	BackgroundSARS-CoV-2 and its associated disease, COVID-19, has infected over seven million people world-wide, including two million people in the United States. While many people recover from the virus uneventfully, a subset of patients will require hospital admission, some with intensive care needs including intubation, and mechanical ventilation. To date there is no cure and no vaccine is available. Passive immunotherapy by the transfusion of convalescent plasma donated by COVID-19 recovered patients might be an effective option to combat the virus, especially if used early in the course of disease. Here we report our experience of using convalescent plasma at a tertiary care center in a mid-size, midwestern city that did not experience an overwhelming patient surge. MethodsHospitalized COVID-19 patients categorized as having Severe or Life-Threatening disease according to the Mayo Clinic Emergency Access Protocol were screened, consented, and treated with convalescent plasma collected from local donors recovered from COVID-19 infection. Clinical data and outcomes were collected retrospectively. Results31 patients were treated, 16 severe patients and 15 life-threatened patients. Overall mortality was 27% (4/31) but only patients with life-threatening disease died. 94% of transfused patients with severe disease avoided escalation to ICU care and mechanical ventilation. 67% of patients with life-threatening disease were able to be extubated. Most transfused patients had a rapid decrease in their respiratory support requirements on or about day 7 following convalescent plasma transfusion. ConclusionOur results demonstrate that convalescent plasma is associated with reducing ventilatory requirements in patients with both severe and life-threatening disease, but appears to be most beneficial when administered early in the course of disease when patients meet the criteria for severe illness.	Hartman, W.; Hess, A. S.; Connor, J. P.	2020-06-22	10.1101/2020.06.19.20135830
Mortality reduction in 46 severe Covid-19 patients treated with hyperimmune plasma. A proof of concept single arm multicenter interventional trial	BACKGROUNDHyperimmune plasma from Covid-19 convalescent is a potential treatment for severe Covid-19. METHODSWe conducted a multicenter one arm proof of concept interventional study. Patients with Covid-19 disease with moderate-to-severe Acute Respiratory Distress Syndrome, elevated C-reactive Protein and need for mechanical ventilation and/or CPAP were enrolled. One to three 250-300 ml unit of hyperimmune plasma (neutralizing antibodies titer [&ge;]1:160) were administered. Primary outcome was 7-days hospital mortality. Secondary outcomes were PaO2/FiO2, laboratory and radiologic changes, as well as weaning from mechanical ventilation and safety. RESULTSThe study observed 46 patients from March, 25 to April, 21 2020. Patients were aged 63, 61% male, 30 on CPAP and 7 intubated. PaO2/FiO2 was 128 (SD 47). Symptoms and ARDS duration were 14 (SD 7) and 6 days (SD 3). Three patients (6.5%) died within 7 days. The upper one-sided 90%CI was 13.9%, allowing to reject the null hypothesis of a 15% mortality. PaO2/FiO2 increased by 112 units (95%CI 82 to142) in survivors, the chest radiogram severity decreased in 23% (95%CI 5% to 42%); CRP, Ferritin and LDH decreased by 60, 36 and 20% respectively. Weaning from CPAP was obtained in 26/30 patients and 3/7 were extubated. Five serious adverse events occurred in 4 patients (2 likely, 2 possible treatment related). CONCLUSIONSHyperimmune plasma in Covid-19 shows promising benefits, to be confirmed in a randomized controlled trial. This proof of concept study could open to future developments including hyperimmune plasma banking, development of standardized pharmaceutical products and monoclonal antibodies.	Perotti, C.; Baldanti, F.; Bruno, R.; Delfante, C.; Seminari, E.; Casari, S.; Percivalle, E.; Glingani, C.; Musella, V.; Belliato, M.; Garuti, M.; Meloni, F.; Frigato, M.; Di Sabatino, A.; Klersy, C.; De Donno, G.; Franchini, M.	2020-05-29	10.1101/2020.05.26.20113373
Hydroxychloroquine inhibits trained immunity - implications for COVID-19	SARS-CoV-2 infection can cause severe disease for which currently no specific therapy is available. The use of hydroxychloroquine to prevent or treat SARS-CoV-2 infection is controversial and its mode of action poorly understood. We demonstrate that hydroxychloroquine inhibits trained immunity at the functional and epigenetic level and is accompanied by profound changes in the cellular lipidome as well as reduced expression of interferon-stimulated genes. Trained immunity comprises a functional adaptation induced by epigenetic reprogramming which facilitates the anti-viral innate immune response. Our findings therefore suggest that hydroxychloroquine may not have a beneficial effect on the anti-viral immune response to SARS-CoV-2.	Rother, N.; Yanginlar, C.; Lindeboom, R. G. H.; Bekkering, S.; van Leent, M. M. T.; Buijsers, B.; Jonkman, I.; de Graaf, M.; Baltissen, M.; Lamers, L. A.; Riksen, N. P.; Fayad, Z. A.; Mulder, W. J. M.; Hilbrands, L. B.; Joosten, L. A. B.; Netea, M. G.; Vermeulen, M.; van der Vlag, J.; Duivenvoorden, R.	2020-06-09	10.1101/2020.06.08.20122143
Early administration of lopinavir/ritonavir plus hydroxychloroquine does not alter the clinical course of SARS-CoV-2 infection: a retrospective cohort study.	As it has been shown that lopinavir (LPV) and hydroxychloroquine (HCQ) have in vitro activity against coronaviruses, they were used to treat COVID-19 during the first wave of the epidemic in Lombardy, Italy. The aim of this retrospective intent-to-treat analysis of the hospitalized patients who started off-label treatment with LPV/ritonavir (LPV/r)+HCQ between 21 February and 20 March 2020 was to compare the rate of clinical improvement between those who started the treatment within five days of symptom onset (early treatment, ET) and those who started later (delayed treatment, DT). The association between the timing of treatment and the probability of 30-day mortality was also assessed using uni- and multivariable logistic models. The study involved 172 patients: 43 (25%) in the ET and 129 (75%) in the DT group. The rate of clinical improvement increased over time to 73.3% on day 30, without any significant difference between the two groups (Grays test P = 0.213). After adjusting for potentially relevant clinical variables, there was no significant association between the timing of the start of treatment and the probability of 30-day mortality (adjusted odds ratio [aOR] ET vs DT = 1.45, 95% confidence interval 0.50-4.19). Eight percent of the patients discontinued the treatment because of severe gastrointestinal disorders attributable to LPV/r. The timing of the start of LPV/r+HCQ treatment does not seem to affect the clinical course of hospitalised patients with COVID-19. Together with the severe adverse events attributable to LPV/r, this raises concerns about the benefit of using this combination to treat COVID-19.	Giacomelli, A.; Pagani, G.; Ridolfo, A. L.; Oreni, A.; Conti, F.; Pezzati, L.; Bradanini, L.; Casalini, G.; Passerini, S.; Torre, A.; Cohen, M.; Gubertini, G.; Rizzardini, G.; Cogliati, C.; Ceriani, E.; Colombo, R.; Rusconi, S.; Gervasoni, C.; Cattaneo, D.; Antinori, S.; Galli, M.	2020-06-12	10.1101/2020.06.05.20123299
Effect of hydroxychloroquine on SARS-CoV-2 viral load in patients with COVID-19	BackgroundSome studies have shown that hydroxychloroquine (HCQ) is an effective drug in reducing the in vitro replication of SARS-CoV-2. However, the in vivo effect of HCQ still unclear. This study aims to evaluate viral load clearance in patients with COVID-19 who underwent HCQ treatment in comparison with a control group that did not receive the drug. MethodsThis prospective study comprised consecutive viral load measurements in patients with COVID-19 hospitalized with a moderate illness. Patients received 400 mg of HCQ every 12 hours for 10 days according to the medical decision. Nasal swab samples were collected at the 1st, 7th, and 14th days of the admission. Results155 samples were collected from 66 patients with COVID-19 (60% female), with a median age of 58 years. The viral load between studied groups, assumed as a semiquantitative measure of cycle threshold (Ct) values, presented no significant difference within the three consecutive measures ({Delta}Ct) (p>0.05). We also analyzed the {Delta}Ct viral load at different intervals of sample collection ({Delta}t <7; 7-12 and >12 days) without significant differences at any {Delta}Ct (p>0.05). ConclusionIn this study, we did not observe any change in viral load in vivo with the use of HCQ. SummaryWe evaluate viral load clearance in patients with COVID-19 who took hydroxychloroquine (HCQ) for treatment and those who not. Prospective viral load measurements have shown any change in viral load in vivo with the use of HCQ.	Faico-Filho, K. S.; Conte, D. D.; Souza Luna, L. K.; Carvalho, J. M. A.; Perosa, A. H. S.; Bellei, N.	2020-06-19	10.1101/2020.06.16.20133066
Tocilizumab shortens time on mechanical ventilation and length of hospital stay in patients with severe COVID-19: a retrospective cohort study.	BackgroundHyperinflammation is a key feature of the pathogenesis of COVID-19 with a central role of the interleukin-6 pathway. We aimed to study the impact of the IL-6 receptor antagonist tocilizumab on the outcome of patients admitted to the intensive care unit (ICU) with acute respiratory distress syndrome (ARDS) related to COVID-19. MethodsEighty-seven patients with confirmed SARS-CoV-2 infection and moderate to severe ARDS were included (n tocilizumab = 29, n controls = 58). A matched cohort was created using a propensity score. The primary endpoint was 30-day all-cause mortality, secondary endpoints included ventilation-free days and length of stay. ResultsNo difference was found in 30-day all-cause mortality in patients treated with tocilizumab compared to controls (17.2% vs. 32.8%, p = 0.2; HR = 0.52 [0.19 - 1.39], p = 0.19). Ventilator-free days were 19.0 (IQR 12.5 - 20.0) versus 9 (IQR 0.0 - 18.5; p = 0.04), respectively. A higher rate of freedom from mechanical ventilation at 30 days was achieved in patients receiving tocilizumab (HR 2.83 [1.48 - 5.40], p < 0.002). Median length of stay in ICU and total length of stay were reduced by 8 and 9.5 days in patients treated with tocilizumab. Similar results were obtained in the analysis of the propensity score matched cohort. ConclusionsTreatment of critically ill patients with ARDS due to COVID-19 with tocilizumab was not associated with reduced 30-day all-cause mortality, but shorter duration on ventilatory support as well as shorter overall length of stay in hospital and in ICU.	Eimer, J.; Vesterbacka, J.; Svensson, A.-K.; Stojanovic, B.; Wagrell, C.; Sonnerborg, A.; Nowak, P.	2020-07-30	10.1101/2020.07.29.20164160
PLEXIT - Therapeutic plasma exchange (TPE) for Covid-19 cytokine release storm (CRS), a retrospective propensity matched control study	PurposeTo evaluate the outcome of patients with COVID-19 triggered CRS treated with Therapeutic Plasma Exchange (TPE) as compared to propensity score matched (PSM)-controls not receiving TPE. Material and methodsUsing PS 1:1 matching, 90 patients were assigned 2 groups (45 receiving TPE and 45 controls). Forced matching and covariate matching was done to overcome bias between two groups. ResultsMedian age was 60 years (range 32-73 in TPE and 37-75 in non-TPE group), p= 0.325. Median duration of symptoms 7 days (range 3-22 days in TPE and 3-20 days in non-TPE), p=0.266. Disease severity in both groups was 6.6% moderate, 44.4% severe and 49% critical. Twenty-eight-day survival was significantly superior in TPE group (91.1%) as compared to PS-matched controls (61.5%), HR 0.21, 95% CI for HR 0.09-0.53, log rank 0.002. Median duration of hospitalization was significantly reduced in TPE treated group as compared to non-TPE controls 10 days and 15 days respectively (p< 0.01). CRS resolution time was also significantly reduced in TPE treated group (6 days vs. 12 days) (p< 0.001). ConclusionUse of TPE is associated with superior overall survival, early resolution of CRS and time to discharge as compared to standard therapy for COVID-19 triggered CRS. Highlights{square} Cytokine release syndrome (CRS) plays a pivotal role in pathophysiology and progression to severe and critical disease in patients with COVID-19. {square}Beyond supportive care, there are currently no proven effective treatment options (including Tocilizumab) for coronavirus disease (COVID-19) {square}Therapeutic plasma exchange (TPE) may dampen CRS of COVID-19 by removing circulating cytokines and toxins {square}TPE is the cheapest of all novel treatments available so far to treat severe to critical COVID-19 {square}By intervening early with TPE, mortality and morbidity associated with COVID-19 triggered CRS can be reduced	kamran, s. m.; Mirza, Z. -e. H.; Naseem, A.; Liaqat, J.; Fazal, I.; Alamgir, W.; Saeed, F.; Azam, R.; Hussain, M.; Yousaf, M. A.; Ashraf, N.; Nisar, S.; Ali, M. Z.; Saleem, S.; Sajjad, K.; Zaman, A.; Azam, M. N.; Hussain, M.; iftikhar, r.	2020-07-29	10.1101/2020.07.23.20160796
